district,school_name,poa_school_net,school_website,school_type_1,school_type_2,student_gender,religion,school_size,medium_of_instruction,through_train_sec_school,feeder_sec_school,nominated_sec_school,school_bus,nanny_van,fac_no_of_classroom,fac_no_of_school_hall,fac_no_of_playground,fac_no_of_library,fac_special_rooms,fac_support_for_specialedu,previous_year_tsi_no_of_approved_teaching_posts,previous_year_tsi_total_no_of_teachers,previous_year_tsi_percent_of_received_teacher_training,previous_year_tsi_percent_of_bacherlor,previous_year_tsi_percent_of_master_doctorate_or_above,previous_year_tsi_percent_of_special_edu_training,previous_year_tsi_percent_of_exp_0_4,previous_year_tsi_percent_of_exp_5_9,previous_year_tsi_percent_of_exp_10_or_above,previous_year_no_of_class_p1,previous_year_no_of_class_p2,previous_year_no_of_class_p3,previous_year_no_of_class_p4,previous_year_no_of_class_p5,previous_year_no_of_class_p6,previous_year_no_of_class_total,current_year_no_of_class_p1,current_year_no_of_class_p2,current_year_no_of_class_p3,current_year_no_of_class_p4,current_year_no_of_class_p5,current_year_no_of_class_p6,current_year_no_of_class_total,no_of_test_per_year_P1,no_of_exam_per_year_P1,replace_test_exam_P1,no_of_test_per_year_P2-P6,no_of_exam_P2-P6,upload_school_assessment_policy_to_school_web,upload_school_assignment_policy_to_school_web,school_starts_at,school_starts_at_AMPM,school_ends_at,school_ends_at_AMPM,school_major_concerns
Kwun Tong,S.K.H. Yautong Kei Hin Primary School,48,http://www.skhykh.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,8000,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,36,1,2,1,"Library, computer rooms, maker room, music rooms, visual art room, GS room, English room, Cool Think@JC Studio, learning centre, etc.","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",68,71,99,100,52,38,13,19,68,6,6,6,6,6,6,36,6,6,6,6,6,6,36,0,2,Yes,0,3,Yes,Yes,8:00,AM,2:50,PM,1. To build students' self-learning ability.<br>2. Cultivate students' positive attitudes.
Kwun Tong,Sau Mau Ping Catholic Primary School,48,http://www.smpcps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,6200,Chinese(incl.: Putonghua),-,-,-,Yes,-,30,1,3,1,"Interactive e-classrooms, STEM MAKERSPACE, Ecological Learning Centre, school canteen, Multi-purpose Room, Visual Arts room, Music room, etc.","Ramp, Accessible lift and Accessible toilet.",47,50,100,100,30,46,20,20,60,2,3,4,5,5,5,24,1,2,3,4,5,5,20,1,1,Yes,2,2,Yes,Yes,8:00,AM,3:10,PM,1. Deepen value education with the five core values of Catholicism; broaden students' global vision and consolidate the students' national identity.<br>2. Encourage students' creativity so as to excel their learning potentials by upbringing technology education.
Kwun Tong,Sau Ming Primary School,48,http://www.saumingps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,8000,Chinese(incl.: Putonghua) and English,-,-,-,-,Yes,30,1,3,1,"8 rooms, including English learning room, Mathematical Intelligences Room, General Studies room, dancing room, visual art room, music room, DreamLab & PlayLab.",Accessible lift and Accessible toilet.,56,58,100,100,31,80,30,16,54,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,1,Yes,1,2,Yes,Yes,8:00,AM,3:10,PM,"1. Develop positive, friendly and empathetic education in schools and cultivate the correct values of empathy.<br>2. Promote interconnected learning experiences and make education more innovative."
Kwun Tong,St. Antonius Primary School,48,http://www.saps.edu.hk/,Aided,Whole Day,Co-ed,Catholicism,7760,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,30,1,4,1,"Chapel, Pastoral Room, STR³EAM Room, LEGO STEM Lab., Rising Star Media Station, English Wonderland, Music Room, Computer Room, Art Room and Pottery Workshop.","Accessible lift, Accessible toilet and Tactile guide path plan.",55,59,97,100,35,27,10,10,80,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,3,Yes,0,3,Yes,Yes,8:00,AM,3:20,PM,"1. To cultivate students' positive values ​​in the spirit of the gospel.<br>2. To stimulate students' learning motivation, strengthen self-learning ability, and expand learning opportunities."
Kwun Tong,St. Edward's Catholic Primary School,48,http://www.stedward.edu.hk,Aided,Whole Day,Co-ed,Catholicism,7000,Chinese,-,-,-,Yes,-,30,1,3,1,"Art room, Music room, Science room, Maker Lab, Games room, Campus TV,  Table Tennis Room, Virtual Reality Learning Lab, Theatre Almanax and Steam Lab.",Ramp and Accessible Lift.,56,62,89,100,29,53,35,29,36,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:10,AM,3:30,PM,"We are committed to implementing the set of expectations stated in ""the T-standard+"" in the four domains including 'Management and Organization', 'Learning and Teaching', 'Student Support and Student Ethos' and 'Student Performance' to nurture proactive learners with competences in constructing knowledge. It is our mission to empower our students to be eager, intelligent and disciplined learners."
Kwun Tong,St. Matthew's Lutheran School (Sau Mau Ping),48,http://www.smssmp.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,5000,Chinese,-,-,-,Yes,Yes,24,1,2,1,"Computer Room, Music Room, Dancing Room, Language Room, Art Room, Religious Room, STREAM Room, Yung Siu Sun Library.",Accessible lift and Accessible toilet.,48,49,100,100,22,98,14,16,70,4,4,4,4,4,4,24,4,4,4,4,4,4,24,1,1,Yes,2,2,Yes,Yes,8:00,AM,3:20,PM,1. Deepen self-directed learning and inspire students' multiple intelligence.<br>2. Strengthen national education and continue to develop positive attitude as the school culture.
Kwun Tong,Kwun Tong Government Primary School (Sau Ming Road),48,http://www.ktgps-smr.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,7253,Chinese,-,-,"Kwun Tong Govt Secondary School, Homantin Govt Secondary School, Kwun Tong Kung Lok Govt Secondary School, <br>Jockey Club Govt Secondary School",Yes,-,30,1,2,1,"E-learning Centre Lab, i-Tech Lab, Music Room, Visual Art Room, Multi-purpose Room, Activity Room, English Reading Room, Student Counselling Room.",Accessible lift and Accessible toilet.,55,56,100,100,28,74,4,9,87,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,0,Yes,1,2,No,Yes,8:15,AM,3:15,PM,"1. Enhancing positive cultures, promoting a healthy campus, and cultivating students' healthy physical and mental development.<br>2. Enriching students' learning experience, and facilitating life-wide learning, nurturing students to become positive and proactive learners."
Kwun Tong,S.K.H. Kei Hin Primary School,48,https://www.skhkeihin.edu.hk/tc/,Aided,Whole Day,Co-ed,Protestantism / Christianity,3000,Chinese,-,-,-,Yes,-,24,2,2,1,"2 Music Rooms,STEAM ROOM 1 Computer Room, 1 Multimedia Learning Centre, <br>1 Dance Studio, 1 English Room, 1 Chinese Language and Mandarin Room, 1 Mathematics Room, 1 General Studies Room, 1 Visual Arts Room, 1 Guidance Room.",Accessible lift and Accessible toilet.,47,47,100,100,34,76,6,23,71,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,1,Yes,0,2,Yes,Yes,8:00,AM,3:20,PM,1. Care for student diversity<br>2. Enhance student well-being
Kwun Tong,C.C.C. Kei Faat Primary School,48,http://www.kfp.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,2785,Chinese,-,-,-,Yes,-,12,1,2,1,"STEM Room, English room, Distance Learning classroom, Campus TV broadcasting station, 2 small class teaching rooms, music room, medical room, social worker's office, etc.",Ramp.,26,28,100,100,52,76,50,21,29,2,2,2,2,2,2,12,2,2,2,2,2,2,12,1,1,Yes,1,2,Yes,Yes,8:00,AM,3:15,PM,"The school focuses on four pillars of student growth: <br>a solid academic foundation, forward-thinking innovation and creativity, a keen international perspective, and correct values. The goal is to cultivate students who are ""Future Ready."" The school's focus from 2023-2026 is ""A Wonderful Life Guided by You, Innovating Learning, and Setting Sail from Me."""
Kwun Tong,St. John The Baptist Catholic Primary School,48,https://www.sjbcps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,2700,Chinese,-,-,-,Yes,Yes,24,1,1,1,"11 special rooms: multi-purpose rooms, English corner, dancing room, music room, computer room, visual art room, meeting room, study room and prayer room, etc.","Ramp, Accessible lift and Accessible toilet.",46,48,100,100,33,69,44,17,39,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,3,Yes,0,3,Yes,Yes,8:15,AM,3:20,PM,"1. Promote values education ,cultivate students' good moral character ,and promote students' physical ,mental and spiritual health.<br>2. Promote and enrich students' learning experience while improving teaching and learning effectiveness."
Kwun Tong,Kwun Tong Government Primary School,48,http://www.ktgps.edu.hk/,Gov't,Whole Day,Co-ed,Not Applicable,1895,Chinese,-,-,"Kwun Tong Govt Secondary School, Homantin Govt Secondary School, Kwun Tong Kung Lok Govt Secondary School, <br>Jockey Club Govt Secondary School",Yes,-,24,1,1,1,"1 Computer Room, 1 Visual Art Room, 1 Music Room, 1 Activity Room, 1 STEM Room, 1 English Activity Room and 1 Multi-Purpose Room.",Accessible lift and Accessible public information / service counter.,44,47,100,100,31,69,0,13,87,3,4,4,4,4,4,23,2,3,4,4,4,4,21,1,1,Yes,2,2,Yes,Yes,8:00,AM,3:00,PM,Mutual Respect    Diligence and Encouraging    Harmonious Environment   Strive for Excellence
Kwun Tong,St. Joseph's Anglo-Chinese Primary School,/,http://www.sjacps.edu.hk,Private,Whole Day,Boys,Catholicism,4500,English,-,St.Joseph's Anglo-Chinese School,-,Yes,Yes,18,1,2,1,"Multi-Media Learning Centre, Music Room, Visual Art Room, Computer Room, Gifted Education Learning Centre, Multi-function Game Room.","Ramp, Accessible lift and Accessible toilet.",-,35,83,97,27,7,36,18,46,3,3,3,3,3,3,18,3,3,3,3,3,3,18,0,3,No,0,3,No,No,8:00,AM,3:00,PM,Together We F. L. Y.!
Kwun Tong,L.S.T. Yeung Chung Ming Primary School,48,http://www.ycmps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,4000,Chinese(incl.: Putonghua) and English,-,-,Lok Sin Tong Wong Chung Ming Secondary School,Yes,-,24,1,2,1,"STEAM Laboratory, National Education Information Center , Visual Art Room, Counselling Room, Integrated Activities Room, Music Room, English Room, Gym Room, Physical-artistic Recreational Trail, Aerospace Education Centre and Kimochis Room.","Ramp, Accessible lift, Accessible toilet and Accessible public information / service counter.",32,38,100,97,26,71,31,16,53,2,1,2,3,4,3,15,2,2,1,2,3,4,14,0,0,Yes,2,2,Yes,Yes,8:10,AM,4:00,PM,1. Develop caring and diverse support policies to create a joyful and healthy campus learning environment. <br>2. Foster a campus and home environment filled with a sense of happiness.
Kwun Tong,Fukien Secondary School Affiliated School,/,http://www.fssas.edu.hk,DSS,Whole Day,Co-ed,Not Applicable,6200,English,Fukien Secondary School,-,-,Yes,-,30,2,2,1,"4D Immersive Space, AI Lab, Steam Playground, Collaboratory Lab, Teaching Analysis Lab, Gymnasium, Unicycle Path, Ceramic Studio, CoolThink Lab, Life Education, Subject Learning Rooms, Table Tennis Court, Theatre, Basketball Court, Dance Room","Ramp, Accessible lift, Accessible toilet and Visual fire alarm system.",-,85,89,100,31,0,39,21,40,4,4,4,4,4,4,24,4,4,4,4,4,4,24,1,1,Yes,0,3,Yes,Yes,7:55,AM,3:25,PM,"-Promote STEAM education to enhance students' innovative thinking, problem-solving skills, and self-directed learning across various subjects.<br>-Foster a positive school culture that nurtures responsible decision-makers with correct and positive values, self-discipline, and global citizenship awareness.<br>-Through challenging, diverse activities and highly supportive learning environments, enhance students' self-identity, teamwork skills, and encourage them to pursue excellence."
Kwai Tsing,Buddhist Lam Bing Yim Memorial School (SPSD by HKBA),65,http://www.blbyms.edu.hk,Aided,Whole Day,Co-ed,Buddhism,2111,Chinese,-,-,-,-,Yes,25,1,1,1,"9rooms (Adventure Discovery Palace (Climbing Rope), STEM room, Visual Arts Room, Meditation/Music Room, Activity Room, English Room, Computer Room, Diversity Development Center & Meeting Room)","Ramp, Accessible lift and Accessible toilet.",35,37,76,100,34,100,42,11,47,2,2,4,3,3,3,17,2,2,2,4,3,3,16,0,1,Yes,0,3,Yes,Yes,8:10,AM,3:20,PM,1. Create a diverse learning atmosphere and develop students' talents.<br>2. Broaden values ​​education and cultivate students' good character.
Kwai Tsing,S.K.H. Chu Yan Primary School,65,http://www.chuyan.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,1000,Chinese,-,-,-,Yes,-,24,2,2,1,"2 Music rooms, Computer Room, Counselling Room, Chapel, Language Room, Activity Rooms, Dancing Room, Garden, SAMS Room, Teaching Resources Room and Maker Space.","Ramp, Accessible lift and Accessible toilet.",45,48,100,100,30,77,5,26,69,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,1,Yes,0,3,Yes,Yes,8:30,AM,3:45,PM,1. Promote innovation and technology education and enhance students' abilities in STEAM and e-learning.<br>2. Reinforce values education and cultivate the 'Chuyaners' qualities.
Kwai Tsing,Cho Yiu Catholic Primary School,65,http://www.choyiu.edu.hk,Aided,Whole Day,Co-ed,Catholicism,2200,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,24,1,2,1,"Coolthink@Studio, STREAM Room, English Activity Room, Music Room, Visual Art Room, Comprehensive Learning Space, School Counselling Room.","Ramp, Accessible lift and Accessible toilet.",45,47,100,100,47,55,19,15,66,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,1,Yes,0,3,Yes,Yes,8:00,AM,3:15,PM,"1. Integrating the core values of Catholic education with character strengths (Responsibility and Respect) to bring out the unique character that is core to the CYCPS spirit. <br>2. Make good use of study time, broaden learning horizons, and cultivate a positive attitude towards learning. <br>3. Align with students' character strengths, continuously optimize holistic learning activities, and achieve balanced development of body, mind, and spirit."
Kwai Tsing,S.K.H. Yan Laap Memorial Primary School,65,http://www.ylm.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,10700,Chinese,-,-,S.K.H. Lam Woo Memorial Secondary School,Yes,-,30,1,3,1,"Library, STEM Lab, IT Lab, English Digital Room, Art Room, 2 Music Rooms, VR Room, Activity Room and Rainbow Prayer Square.",Accessible lift and Accessible toilet.,58,63,98,100,50,60,20,10,70,5,5,5,5,5,5,30,5,5,5,5,5,5,30,2,2,Yes,2,2,Yes,Yes,7:55,AM,2:45,PM,"Aims ""Love God and love people; Positive mind and heart; Engage in active learning; Embrace every challenge""<br>1. Continuously develop Christian-positive education, with the collaboration of subject teams, to establish positive values in students and promote physical, mental, and spiritual development through diverse learning experiences. <br>2. Continuously develop subject-based curriculums and enhance formative instructional practice, encourage and cultivate students' attitudes and habits of independent learning."
Kwai Tsing,Buddhist Lim Kim Tian Memorial Primary School,65,http://www.lkt.edu.hk,Aided,Whole Day,Co-ed,Buddhism,4700,Chinese,-,-,-,Yes,-,30,1,2,1,"There are eleven special rooms including two English rooms, music room, visual art room, BLKT_STEM LAB, library, and Art Gallery, conference room, Campus TV room and activity room.",Accessible lift.,58,62,95,98,42,68,13,16,71,5,5,5,5,5,5,30,5,5,5,5,5,5,30,1,1,Yes,2,2,Yes,Yes,8:00,AM,3:35,PM,"1. Develop students' attitude to concern about society, nation and acquire a broad vision of the world so as to make life planning.<br>2. Promote whole-person education and nurture students' spacing lifelong learning capabilities."
Kwai Tsing,C.N.E.C. Lui Ming Choi Primary School,66,http://www.cneclmc.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,5700,Chinese,-,-,-,Yes,-,24,1,2,1,"computer room, art room, music room, activity centre, Immersive Space, Interactive Distance Learning Room, game room, language learning room, English learning room, STEAM Education Centre, Multiple Intelligence Development Room, E-points (Student Union Room) etc.","Ramp, Accessible lift, Accessible toilet and teaching room, language room, social worker room, NET teacher room, counselling room.",47,52,100,95,38,70,20,30,50,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,Yes,Yes,8:05,AM,3:20,PM,"1. Our teachers work together to develop our school into a 'Joyful School' and an 'Academic School' at the same time.<br>2. We aim to create a relaxing, happy and positive environment for our students to challenge themselves. We encourage our students to develop their potentials and achieve excellence, especially in knowledge, skills and attitudes."
Kwai Tsing,Salesian Yip Hon Millennium Primary School,64,http://www.syh.edu.hk,Aided,Whole Day,Co-ed,Catholicism,7800,Chinese,-,-,-,Yes,-,30,1,3,1,"Student Activity Room, Computer Room, Steam Lab, Art Room, Pottery Studio, Music Room, Religious Room, English Room, Student Counselling Room, School TV Studio, Multi-Intelligence Activity Room, Chapel, Chinese herbal garden, Contemplation Room, etc.","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",59,60,100,100,33,50,7,8,85,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:20,PM,1. Promote STEAM education and enhance students' learning interest and ability.<br>2. Optimize value education and promote students' all-round development.<br>3. Promote the five core values of Catholicism and enable school stakeholders to live out the Salesian spirit.
Kwai Tsing,Po Leung Kuk Chan Yat Primary School,66,http://www.plkcy.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,5025,Chinese(incl.: Putonghua) and English,-,-,-,Yes,Yes,24,1,2,1,"Multi-purpose room, Music room, Activity room, Parent-teacher resources centre, Computer room, STEAM LAB, 3 Remedial learning classrooms, Interview room, Special teachers' room, Social workers' room, Staff lounge.","Ramp, Accessible lift and Accessible toilet.",48,49,100,100,38,83,25,13,62,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,4,Yes,Yes,8:10,AM,3:15,PM,Students learn Chinese cultures and virtues and nurture students’ positive values. Develop students’ generic skills through cross-curricular learning.
Kwai Tsing,S.K.H. Ho Chak Wan Primary School,66,http://www.skhhcw.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,7000,Chinese,-,-,-,Yes,-,30,1,4,1,"Multiple Intelligences & Giftedness Room, Chapel, GS & STEM Room, Student Activity Centre, Visual Art Room, English Reading Room, Computer Room / Multi-Media Learning Centre, Multi-purpose Room, Campus TV, ChakWarderland etc.","Ramp, Accessible lift and Accessible toilet.",56,60,100,100,42,60,15,32,53,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:05,AM,3:15,PM,1. To keep promoting values education.<br>2. To enhance learning and teaching effectiveness.<br>3. To develop students' personal interests and multiple intelligences.
Kwai Tsing,S.K.H. Tsing Yi Chu Yan Primary School,66,http://www.tycy.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,7300,Chinese,-,-,-,Yes,-,30,1,4,1,"There are 23 special rooms including School-TV Studio, Computer Room, Visual Arts Room, General Studies Room, Music Rooms, Dance Room, English Reading Room, STEM Activities Room, Counseling Room, Remedial Teaching Room.","Accessible lift, Accessible toilet, Tactile guide path and Accessible public information / service counter.",56,59,100,100,34,80,0,12,88,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,1,Yes,0,3,Yes,Yes,8:00,AM,3:05,PM,"1. Morality: Promotion of courtesy and the adherence to rules, as well as the willingness to serve the others as a member of the school.<br>2. Academic: Fostering students' initiatives and motivating them to be innovative learners that are eager to make improvements in life.<br>3. Activities: Provision of various opportunities to develop students' potential to the full."
Kwai Tsing,Tsing Yi Trade Association Primary School,66,http://www.tytaps.edu.hk/,Aided,Whole Day,Co-ed,Not Applicable,3000,Chinese,-,-,-,-,Yes,24,1,2,1,"STEM Room, Visual Art Room, Music Room, Activity Room, English Room A/B, Computer Room, Speech Therapy Room.","Ramp, Accessible lift and Accessible toilet.",23,25,100,100,26,46,50,33,17,2,1,2,2,1,1,9,1,2,1,2,2,1,9,0,2,Yes,0,3,Yes,Yes,8:15,AM,3:25,PM,"1. Establish an innovative and technology-focused campus to cultivate students' self-directed learning abilities.<br>2. Nurture students' patriotism and love for Hong Kong, instill a sense of gratitude and appreciation, and foster care and concern for others.<br>Slogans: Giving wings to every child who wants to fly, creating success for every child through love and care"
Kwai Tsing,Delia (Man Kiu) English Primary School,/,http://www.deliamk.edu.hk,DSS,Whole Day,Co-ed,Not Applicable,1443,English,-,-,-,-,Yes,24,1,2,1,"Dancing Room, Visual Art Room, Music Room, Computer Room, Play Therapy Room, STEM Learning Room, Chinese Learning Room and meeting rooms.","Ramp, Accessible lift and Accessible toilet.",-,38,84,100,26,53,58,13,29,3,3,3,3,3,3,18,3,3,3,3,3,3,18,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:20,PM,"1. Optimize learning, teaching and assessment strategies to enhance students' learning effectiveness.<br>2. To cultivate a healthy lifestyle with positive values and physical and mental well-being in a harmonious campus."
Kwai Tsing,Shek Lei Catholic Primary School,64,http://www.sheklei.edu.hk,Aided,Whole Day,Co-ed,Catholicism,8610,Chinese,-,-,-,Yes,-,26,1,2,1,"13 rooms (Music Room, Computer Room, General Studies Room, Student Activity Room, Counselling Room, Reading Room, Visual Art Room, STEAM Room, Religious Activity Room, Campus TV, etc.)","Ramp, Accessible lift, Accessible toilet and Accessible public information / service counter.",47,48,96,96,28,67,10,27,63,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,Yes,Yes,8:10,AM,3:30,PM,1. To foster students' positive values and attitudes by practising the five core values of Catholic education as a result creating a positive culture in campus.<br>2. To promote the development of cross-curricular / Key Learning Areas (KLA) collaboration to strengthen students' generic skills and lead them to be self-directed learners.
Kwai Tsing,S.K.H. Chu Oi Primary School,64,http://www.chuoi.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,6800,Chinese,-,-,-,-,Yes,30,1,1,1,"Student Activity Centre, Computer Assisted Learning Room, Stem Lab, Campus TV Studio, Library, Art & Craft Room, English Room, Music Room, General Studies Room, 4 Remedial Classrooms","Ramp, Accessible lift, Accessible toilet, Tactile guide path and Accessible public information / service counter.",58,59,97,100,32,40,16,14,70,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,No,No,8:10,AM,3:10,PM,1. Enhance students' self-directed learning ability and problem-solving skills for their future.<br>2. Create a harmonious life together.
Kwai Tsing,Salesian Yip Hon Primary School,64,http://www.syhps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,4000,Chinese,-,-,-,-,Yes,24,1,2,1,"Computer room, Visual Arts room, Music room, English Room, STEAM Room, Multi-purpose room, Chapel, PTA room and Campus TV room.","Ramp, Accessible lift and Accessible toilet.",44,48,100,100,48,86,12,6,82,3,3,4,4,4,4,22,4,3,3,4,4,4,22,0,3,No,0,3,Yes,Yes,8:05,AM,3:15,PM,"1. To practice Don Bosco’s “The Preventive System in the Education of the Youth”, based on the five core values of Catholic education. <br>2. Enhance students’ creativity and problem-solving abilities through technology in teaching.<br>3. To build a campus culture of empathy and positivity and to cultivate students’ moral values."
Kwai Tsing,Shek Lei St. John's Catholic Primary School,64,http://www.slsj.edu.hk,Aided,Whole Day,Co-ed,Catholicism,7482,Chinese,-,-,-,-,Yes,19,1,2,1,"Prayer Room, English Funland, Campus TV, Computer Room, Student Activity Centre, Music Room, Visual Arts Room, Counselling Room and Small Group Teaching Room.","Ramp, Accessible lift, Accessible toilet, Tactile guide path and Accessible public information / service counter.",38,43,84,98,40,70,35,19,46,4,3,3,3,3,3,19,3,4,3,3,3,3,19,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:30,PM,1. Implement school-based values education based on the five core values of Catholic education - to create a holistic educational environment that nurtures not only intellectual growth but also character development.<br>2. Deepen self-directed learning strategies and exploratory abilities and build a growth-oriented learning community for future readiness.
Kwai Tsing,Asbury Methodist Primary School,65,http://www.asbury.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,1656,Chinese,-,-,-,Yes,-,23,1,3,1,"Hall, Climbing wall, Community Cinema, Campus TV, IT Room, English Room, Music Room, VA Room, Dancing Room, Religion Room, Science Room, Student Life Education Room, Parent Resource Centre, Tuck-shop.","Ramp, Accessible lift, Accessible toilet and Accessible public information / service counter.",39,44,100,100,29,58,50,27,23,2,3,3,4,4,3,19,2,2,3,3,4,4,18,0,2,Yes,0,3,No,Yes,8:05,AM,3:25,PM,1. Make effective use of learning time to enhance students' independent learning and improve their learning effectiveness.  <br>2. Continue to promote life education to cultivate a positive and proactive value system among students.
Kwai Tsing,C.C.C. Chuen Yuen Second Primary School,65,http://www.chuenyuen2.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,2610,Chinese,-,-,CCC Chuen Yuen College,Yes,-,18,1,2,2,"Special rooms include: Visual Art Room, English Library, General Studies cum STEAM Learning Centre, Computer Room, Music Room, Small Class Teaching Classrooms and Campus TV Station.","Ramp, Accessible lift and Accessible toilet.",38,39,100,100,38,65,15,28,57,3,3,3,3,3,3,18,3,3,3,3,3,3,18,0,2,Yes,0,3,No,Yes,8:00,AM,,Please see remarks,"1. Promote Values Education, flourish CY2ers’ physical, mental and spiritual attributes<br>2. Foster students' potentials through promoting diversified learning "
Kwai Tsing,C.N.E.C. Ta Tung School,65,http://www.cnectt.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,4000,Chinese & English,-,-,-,Yes,-,24,2,2,1,"STEM Lab, 2 Music Rooms, a Visual Arts Room, a Student Activity Centre, a School Campus TV Studio, an English Learning Centre, General Studies Room,3 Small Group Classrooms, Musical Instruments Room, Air Driving Room, Dynamic Sports Room and Multi-sensory Playroom","Ramp, Accessible lift and Accessible toilet.",28,34,91,97,41,68,18,20,62,2,1,2,2,3,3,13,2,2,1,2,2,3,12,0,2,Yes,0,3,No,No,7:55,AM,3:40,PM,We place great emphasis on students' learning and holistic development. We put a lot of effort on realizing and developing students' own potentials so that they can enjoy learning and keep growing.
Kwai Tsing,C.C.C. Kei Chun Primary School,65,http://www.keichun.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,10000,Chinese,-,-,-,Yes,-,30,1,3,1,"English Learning Centre (2), Computer Room (Innovative Classroom), Science Room, Music Rm (2), Art Room, Chapel, Assembly Hall, Basketball Court (3), Multi-purpose Room, Chinese Culture Room, Badminton Courts, Library, Outdoor Adventure Facilities, Fitness Corner, Indoor/Outdoor Climbing Wall, etc.","Accessible lift, Accessible toilet and Tactile guide path plan.",55,57,100,100,25,43,9,9,82,4,5,5,5,5,5,29,5,4,5,5,5,5,29,0,1,Yes,0,3,No,No,8:00,AM,3:10,PM,"1. Through diverse learning activities, we promote values education, nurturing positive values and attitudes to develop responsible and principled individuals.<br>2. Integrate AI, STEAM, and aerospace elements into all subjects to promote interdisciplinary learning. This approach enriches students' learning experiences across different fields, fosters holistic development and application of transferable skills, and cultivates them into self-directed learners."
Kwai Tsing,E.L.C.H.K. Kwai Shing Lutheran Primary School,65,http://www.kslps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,2000,Chinese,-,-,-,-,Yes,24,1,2,1,"Computer Room, STEAM Room, Language Room, Visual Arts Room, Music Room, Science Room, English Room, Counseling Room, Aided Learning Room, Library, Campus TV, Fitness Room and VR Room, Play Room",Accessible lift and Accessible toilet.,45,52,100,100,37,63,30,13,57,3,4,4,4,4,4,23,3,3,4,4,4,4,22,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:10,PM,1. Fine-tune learning and teaching. Enhance students' self-awareness and learning effectiveness by strengthening students' competence in learning strategies.<br>2. Enhance positive school culture and sustain effective classroom management to nurture students' positive attitudes and character.<br>3. Emphasize STEAM education to enhance students' problem solving skills and creativity.
Kwai Tsing,S.R.B.C.E.P.S.A. Lu Kwong Fai Memorial School,65,http://www.lkfms.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,4440,Chinese,-,-,-,-,Yes,25,1,1,1,"Music Rooms, Computer Rooms, English Room, Visual Art Room, Counselling Rooms, STEAM Innovation Lab, Student Activity Room, Hanging Garden, Roof Climbing Wall, Heritage Room and VR Space.","Ramp, Accessible lift and Accessible toilet.",40,42,100,97,38,67,8,23,69,2,3,4,4,4,3,20,1,2,3,4,4,4,18,0,3,No,0,3,No,No,8:00,AM,3:30,PM,1. To nurture students' positive values and attitudes as well as educating about healthy living.<br>2. Continue to develop the school-based curriculum to enhance students' effectiveness in language skills and generic skills.
